author,duration of career
T-I Hsu,N/A
Emmanuel Dornier,N/A
HIROFUMI YAMAMOTO,N/A
BO LI,N/A
EUN YOUNG GIL,N/A
YUKI FUJISE,N/A
CHIACHEN CHEN,N/A
WEI YANG,N/A
MICHIYO YAMAMURA,N/A
TONI IBRAHIM,N/A
LI MA,N/A
Steffen Zender,N/A
Luke Martin McCaffrey,N/A
Lu Wang,N/A
Corentin Herbert,N/A
Janice D. Thomas,N/A
King Ching Ho,N/A
Nathalie Delgehyr,N/A
Rajesh K. Grover,N/A
Kevin Y. Lee,N/A
Shuyu Ren,N/A
Zhongyuan Wang,N/A
